Ind	Sex	Region	Haplogroup	Class	CNE	WBI	WE
POBI733731	M	Norfolk	I1	I1	0.503279	0.135951	0.36077
POBI733734	M	Yorkshire	R1b1a2a1a2b	R-P312	0.308315	0.462762	0.228923
POBI733738	M	ForestofDean	R1b1a2a1a1c2a1	R-U106	0.443271	0.349056	0.207674
POBI733748	M	Kent	R1b1a2a1a1	R-U106	0.409572	0.320775	0.269653
POBI733750	M	Kent	R1a1a	R1a	0.041887	0.542102	0.416011
POBI733753	M	Cumbria	R1b1a2a1a1	R-U106	0.600953	0.333612	0.065436
POBI733754	M	Yorkshire	I2a1b1	I2a1b	0.628137	0.212368	0.159495
POBI733755	M	Devon	R1a1a	R1a	0.311809	0.50406	0.184131
POBI733761	M	Suffolk	I1	I1	0.350947	0.211588	0.437465
POBI733765	M	Yorkshire	J2a1	J	0.489058	0.33397	0.176972
POBI733771	M	Yorkshire	I1	I1	0.410555	0.307062	0.282382
POBI733772	M	Devon	I1	I1	0.498119	0.169251	0.33263
POBI733773	M	Norfolk	R1b1a2a1a1	R-U106	0.777454	0.108969	0.113576
POBI733775	M	Yorkshire	R1b1a2a1a1	R-U106	0.695246	0.304744	0.00001
POBI733777	M	Suffolk	R1b1a2a1a2b	R-P312	0.470396	0.269712	0.259893
POBI733783	M	Cumbria	I2a1b2a	I2a1b	0.739155	0.233263	0.027582
POBI733785	M	Kent	I2a1b1	I2a1b	0.489825	0.412995	0.097181
POBI733792	M	Cornwall	I1	I1	0.036018	0.671899	0.292083
POBI733794	M	Kent	R1a1a	R1a	0.302368	0.590797	0.106835
POBI733797	M	Sussex	I2a1b1	I2a1b	0.576096	0.118547	0.305358
POBI733806	M	Suffolk	R1b1a2a1a2b	R-P312	0.573855	0.097885	0.32826
POBI733810	M	Norfolk	I2	I2	0.492135	0.042308	0.465557
POBI733842	M	Cornwall	R1b1a2a1a2b	R-P312	0.408161	0.315594	0.276245
POBI733913	M	NorthPembrokeshire	R1b1a2a1a1	R-U106	0.00001	0.99998	0.00001
